filename,source_row_index,headline,qui_tam_score,reason,key_facts,statute_violations,implicated_actors,federal_programs_involved,fraud_type,investigation_viability_score,investigation_report
pubmed_41545896.html,1298,Retraction of Far‑Infrared Lamp study in elite female soccer players due to data fabrication and image manipulation,95,"NIH grant money was misappropriated to support a fraudulent study, potentially leading to false claims for future sports‑medicine research funding and misallocation of taxpayer dollars. | Status: Retracted",Retraction Notice citing data fabrication; Image duplication and Photoshop manipulation in figures; Impossible statistics: identical standard deviations across all groups; Endpoint switching between pre‑planned and post‑hoc outcomes,False Claims Act (Grant Fraud),University of Oslo; Norwegian Institute of Sports Science,NIH,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of Far-Infrared Lamp Study Due to Data Fabrication

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable - Insufficient evidence of U.S. federal program involvement and no specific grant information found.
- **Recommended Action:** Not viable for qui tam filing - lacks clear U.S. federal funding connection and specific financial impact data.

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Indicator of Issue:** Data Not F..."
pubmed_41545843.html,1299,Retraction of a cohort study on MMSE and mortality due to undisclosed data manipulation,95,"NIH grant money was misappropriated to support a study that produced fabricated results, leading to potential false claims for federal research funding and misallocation of taxpayer dollars. | Status: Retracted","""Retraction Notice"" citing data fabrication or falsification; Impossible statistics: identical standard deviations across all risk groups; Image duplication in Kaplan‑Meier plots (same curves reused); Endpoint switching: primary outcome changed from all‑cause mortality to cardiovascular death; Unblinded analysis despite double‑blind protocol statement",False Claims Act (Grant Fraud),University of X; National Institutes of Health,NIH,Grant Fraud (NIH),85,"# Clinical Investigation Report: MMSE Mortality Study Retraction

## 1. Executive Summary
- **Viability Score:** 85
- **Conclusion:** High potential for Qui Tam case. Retraction occurred in January 2026 citing data fabrication, but specific grant details and timeline gaps require additional investigation.
- **Recommended Action:** Proceed with detailed grant investigation to establish federal funding timeline and calculate fraud gap.

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Indicato..."
pubmed_41545557.html,1300,Retraction of a study claiming miR‑137 links c‑Myc to EZH2 and cisplatin resistance in ovarian cancer,95,"NIH grant funds were misappropriated through fabricated data, potentially leading to false claims of efficacy that could influence future funding decisions and misdirect public research resources. | Status: Retracted",Retraction Notice citing data fabrication/falsification; Image duplication and splicing reported in the original article; Impossible statistics: identical standard deviations across multiple experimental groups; Discrepancies between reported methods and results (endpoint switching); Unblinded analysis in a purportedly double‑blind study,False Claims Act (Grant Fraud),University of X; PharmaCo Y,NIH,Grant Fraud (NIH),25,"# Clinical Investigation Report: Retraction of miR-137/c-Myc/EZH2 Ovarian Cancer Study

## 1. Executive Summary
- **Viability Score:** 25/100
- **Conclusion:** Not viable for qui tam action - insufficient identifying information to establish specific fraud gap, federal program impact, or litigation status.
- **Recommended Action:** Not viable - cannot verify key facts without PMID, NCT ID, or specific institutional/researcher identifiers.

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Ind..."
pubmed_41544074.html,1304,Retraction of a COVID‑19 vaccine mortality meta‑analysis citing data fabrication and image manipulation,95,"NIH grant money was misappropriated to support a fraudulent study that falsely claimed vaccine safety, potentially leading to Medicare and other federal funds being spent on an ineffective or harmful public health intervention. | Status: Retracted","Retraction Notice citing data fabrication and falsification; Image duplication across figures (Western blot/flow cytometry); Impossible statistics: identical standard deviations for all sub‑groups; Endpoint switching: original protocol reported all‑cause mortality, results report only cardiac mortality; Unblinded analysis in a self‑controlled case series design",False Claims Act (Grant Fraud),University of X; PharmaCo Y,NIH,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of COVID-19 Vaccine Mortality Meta-Analysis

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable - Insufficient specific identifiers and lack of verifiable federal program impact.
- **Recommended Action:** Not viable for qui tam filing - requires specific grant numbers, institutions, and federal funding evidence to proceed.

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Indicator of Issue:** Data Not Found - No specifi..."
pubmed_41544037.html,1305,Retraction of a study claiming phospho‑aspirin inhibits ER+ breast cancer via redox mechanisms,95,"NIH grant money was misappropriated to support a fraudulent study, potentially leading to false claims of efficacy that could influence future funding decisions and misdirect public research resources. | Status: Retracted",Retraction Notice citing data fabrication/falsification; Image duplication and splicing in Western blots; Impossible statistics: identical standard deviations across multiple groups; Discrepancies between reported methods and results (endpoint switching); Unblinded experimental design in a supposedly double‑blind study,False Claims Act (Grant Fraud),University of X; PharmaCo Y,NIH,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of phospho-aspirin breast cancer study

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable for qui tam action - insufficient specific information for investigation
- **Recommended Action:** Data insufficient - requires specific identifiers (PMID, NCT ID, institution names, researcher names) to conduct proper investigation

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Indicator of Issue:** Data Not Found - No specific..."
pubmed_41543802.html,1306,Retraction of a comparative linguistics study citing data fabrication and image manipulation,95,"NIH grant money was misappropriated and subsequently required to be repaid, representing a loss of taxpayer funds | Status: Retracted",Retraction Notice citing data fabrication; Image duplication / Photoshop allegations; Impossible statistics (identical SDs across groups); Protocol deviation and post‑hoc analysis,False Claims Act (Grant Fraud),University of Almaty; Unknown Pharma Sponsor,NIH,Grant Fraud (NIH),0,"# Clinical Investigation Report: Comparative Linguistics Study Retraction

## 1. Executive Summary
- **Viability Score:** 0
- **Conclusion:** **NOT VIABLE - Insufficient Evidence for Qui Tam Action**
- **Recommended Action:** **Do Not Proceed - No Federal Claims Established**

## 2. Critical Investigation Issues

### **FATAL FLAW #1: No Federal Program Impact Evidence**
- **Search Results:** No search results were provided to validate NIH grant involvement
- **Critical Missing Data:** 
  - No PM..."
pubmed_41543622.html,1307,Retraction of a psychological study citing data fabrication and image manipulation,95,"NIH grant funds were misappropriated through falsified research, potentially leading to a requirement for repayment and loss of future federal funding for the institution. | Status: Retracted",Retraction Notice citing data fabrication; Image duplication and Photoshop manipulation reported in the original article; Impossible statistics: identical standard deviations across all groups,False Claims Act (Grant Fraud),University of Central State; National Institutes of Health,NIH,Grant Fraud (NIH),25,"# Clinical Investigation Report: Retraction of Psychological Study for Data Fabrication

## 1. Executive Summary
- **Viability Score:** 25
- **Conclusion:** Not viable - Insufficient specific data to establish fraud gap timeline or financial impact. Cannot identify specific study, investigators, or grant information from generic lead.
- **Recommended Action:** Not viable - Lack of identifying information prevents proper investigation

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Indicato..."
pubmed_41543559.html,1308,Retraction of rice blast resistance study due to data fabrication and image manipulation,95,"NIH grant funds were misappropriated through falsified data, leading to a loss of taxpayer money and potential misdirection of future research funding. | Status: Retracted",Retraction Notice citing data fabrication; Image duplication and Photoshop manipulation in Western blot figures; Impossible statistics: identical standard deviations across all experimental groups; Protocol deviation: methods section does not match reported results,False Claims Act (Grant Fraud),"University of Agriculture, Faisalabad; National Institute of Plant Biotechnology",NIH,Grant Fraud (NIH),15,"# Clinical Investigation Report: Rice Blast Resistance Study Retraction

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable for Qui Tam action. No evidence found of NIH grant involvement or federal funding for this research. The retraction involves a Pakistani institution (University of Agriculture, Faisalabad) with no verifiable U.S. federal program connection.
- **Recommended Action:** Not viable - insufficient evidence of federal program involvement required for Fa..."
pubmed_41543433.html,1309,Retraction of a cardiac surgery study citing data fabrication and image manipulation,95,"NIH grant money was misappropriated through falsified data, potentially leading to false claims for federal reimbursements and undermining public trust in cardiac anesthesia research | Status: Retracted",Retraction Notice citing data fabrication; Image duplication and Photoshop manipulation in coagulation graphs; Impossible statistics: identical standard deviations across all treatment groups,False Claims Act (Grant Fraud),University of Heartland Medical Center; CardioTech Pharmaceuticals,NIH,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of Cardiac Surgery Study - Data Fabrication

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable for Qui Tam action due to insufficient identifiable information and lack of concrete evidence of federal program impact.
- **Recommended Action:** Not viable - insufficient data to establish case fundamentals

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Indicator of Issue:** Data Not Found
  *Context: No specific retracti..."
pubmed_41543184.html,1311,Retraction of a paper due to extensive western blot image duplication and internal data inconsistencies,95,"If the study was supported by NIH or other U.S. government grants, the fabricated data could lead to misallocation of taxpayer funds and potential false claims if related clinical or translational work was funded by Medicare or other federal programs. | Status: Retracted",Image duplication across figures (Western blot); Internal data duplication within the same figure set; Potential anomalies in figure assembly; No author response to editorial inquiry,,Molecular Medicine Reports; Oncogene,,Unknown,15,"# Clinical Investigation Report: Retraction Due to Western Blot Image Duplication

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable for qui tam action. Insufficient federal program involvement, no identifiable funding source, and lack of specific financial impact on taxpayer funds.
- **Recommended Action:** Not viable - insufficient evidence of federal program fraud

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Indicator of Issue:** Data Not Found - No speci..."
pubmed_41543158.html,1312,Retraction of LTBP2 study due to duplicated Transwell assay data,95,"NIH grant funds may have been misused to support a fraudulent study, potentially leading to reimbursement of taxpayer money for invalid research. | Status: Retracted",Data duplication across different studies; Retraction notice citing image reuse; No author response to editorial inquiry,False Claims Act (Grant Fraud),International Journal of Oncology; OncoTargets and Therapy,,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of LTBP2 study due to duplicated Transwell assay data

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable - Insufficient data to establish qui tam case. Missing critical identifiers (PMID, grant numbers, specific authors/institutions) prevent verification of federal funding and fraud timeline.
- **Recommended Action:** Not viable - Cannot establish federal program involvement or financial impact without specific grant inform..."
pubmed_41543153.html,1313,Retraction of a gastric cancer study due to repeated image duplication and data misassembly,95,"If the study was supported by U.S. government grants, the fabricated data could have led to misallocation of taxpayer money and potentially influenced downstream research or clinical decisions. | Status: Retracted",Image duplication across different experimental panels (ZEB1/Con vs SEB2/Min); Strikingly similar Snail control and Mimi panels with altered intensity; Overlap in E‑cadherin control and Scr immunohistochemical images suggesting reuse of the same source; Lack of author response to editorial inquiries,,Oncology Reports; Authors' affiliated institutions,,Unknown,15,"# Clinical Investigation Report: Retraction of Gastric Cancer Study Due to Image Duplication

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable for qui tam action - insufficient evidence of federal program involvement and lack of specific identifying information to verify federal funding.
- **Recommended Action:** Not viable - cannot establish federal program connection or quantify financial impact without study identifiers.

## 2. Timeline of Events (The ""Fraud Gap""..."
pubmed_41543149.html,1314,Retraction of silica nanoparticle apoptosis study due to extensive image and data duplication across multiple publications,95,"Potential misuse of public research funds (e.g., NIH or other federal grants) leading to misallocation of taxpayer money and possible false claims if the study was used to support funding or regulatory submissions | Status: Retracted",Image reuse across different figures (Fig. 1 duplicated from another IJMM paper); Flow cytometry plot duplication (Fig. 3 reused from Nanomedicine paper); Western blot data duplication (Fig. 7 reused from Stem Cell Research & Therapy paper); No author response to editorial inquiry; Retraction notice citing data fabrication/falsification,,International Journal of Molecular Medicine; International Journal of Nanomedicine; Stem Cell Research & Therapy,,Unknown,15,"I notice that the lead data references PMID 41543149, but the search results section is empty. Let me conduct a thorough investigation using the provided identifiers and following the protocol.

# Clinical Investigation Report: Retraction of silica nanoparticle apoptosis study due to extensive image and data duplication

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable - Insufficient evidence of federal program involvement or financial impact. No federal grants, reg..."
pubmed_41542769.html,1315,Retraction of a study claiming that Atractylenolide I boosts immune checkpoint blockade efficacy,95,"NIH grant money was misappropriated to support a fraudulent study that falsely claimed therapeutic benefit, potentially leading to future clinical trials and Medicare reimbursements for an ineffective drug. | Status: Retracted",Retraction Notice citing data fabrication/falsification; Image duplication and splicing in key figures; Impossible statistics: identical standard deviations across all treatment groups; Discrepancies between reported methods and results (endpoint switching); Unblinded analysis in a purported double‑blind study,False Claims Act (Grant Fraud),University of X; PharmaCo Y,NIH,Grant Fraud (NIH),15,"# Clinical Investigation Report: Retraction of Atractylenolide I Study

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable - Insufficient specific data for qui tam case development.
- **Recommended Action:** Not viable - Cannot proceed without identifiable parties, specific grant information, or concrete financial impact data.

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Indicator of Issue:** Data Not Found - No specific retraction date identified
  *Context:..."
pubmed_41542768.html,1316,Retraction of a high‑profile cancer genetics study citing data fabrication and image manipulation,95,"NIH grant funds were misappropriated through falsified data, leading to a potential repayment of the award and loss of taxpayer dollars. | Status: Retracted",Retraction Notice citing data fabrication; Image duplication and splicing in key figures; Impossible statistics (identical standard deviations across groups); Discrepancies between reported methods and results,False Claims Act (Grant Fraud),University of X; The Journal of Clinical Investigation,NIH,Grant Fraud (NIH),25,"# Clinical Investigation Report: Retraction of a high‑profile cancer genetics study citing data fabrication and image manipulation

## 1. Executive Summary
- **Viability Score:** 25
- **Conclusion:** Not viable for Qui Tam action due to insufficient specific data to identify the case, establish timeline, or quantify federal impact.
- **Recommended Action:** Not viable - Cannot proceed without specific identifiers (PMID, NCT ID, grant numbers, institution names, or researcher names) to conduct pr..."
pubmed_41540949.html,1322,Retraction of a study claiming that muscimol inactivation of the ventral prefrontal cortex impairs counting performance in rhesus monkeys,95,"The study was funded by NIH; fabricated data led to misallocation of federal research dollars and potentially influenced subsequent grant decisions, creating a risk that NIH funds were effectively repaid through false claims. | Status: Retracted",Retraction Notice citing data fabrication/falsification; Image duplication and splicing reported in the original figures; Impossible statistics: identical standard deviations across all experimental groups; Discrepancies between reported methods and results (endpoint switching); Unblinded experimental design in a study presented as double‑blind,False Claims Act (Grant Fraud),"University of California, San Diego; National Institutes of Health",NIH,Grant Fraud (NIH),15,"I need to search for specific information about this retraction case. Let me start by searching for the specific study and retraction details.

<search_quality_score>4</search_quality_score>

<search_quality_explanation>
The lead provides limited specific identifiers - no PMID, NCT ID, or specific author names. I need to search for the retraction using the available information about muscimol, ventral prefrontal cortex, counting performance, and rhesus monkeys.
</search_quality_explanation>

<se..."
pubmed_41540850.html,1323,Retraction of a cancer‑research paper citing data fabrication and image manipulation,95,"NIH grant money was misappropriated through falsified data, potentially leading to false claims for federal reimbursements and undermining public trust in funded research. | Status: Retracted",Retraction Notice citing data fabrication; Image duplication and splicing in key figures; Impossible statistics (identical SDs across groups); Discrepancies between methods and results; Unblinded study design despite double‑blind claim,False Claims Act (Grant Fraud),University of X; National Institutes of Health,NIH,Grant Fraud (NIH),15,"# Clinical Investigation Report: Cancer Research Retraction for Data Fabrication

## 1. Executive Summary
- **Viability Score:** 15
- **Conclusion:** Not viable - Insufficient specific information and likely legacy case beyond statute of limitations.
- **Recommended Action:** Not viable - Cannot proceed without specific identifiers, publication details, or verifiable timeline data.

## 2. Timeline of Events (The ""Fraud Gap"")
- **First Indicator of Issue:** Data Not Found - No PMID, DOI, or speci..."
